id,billing_date,billing_id,billing_document,billing_type,customer_number,sku,net_weight,weight_unit,country_code,country_name
306,2025-01-03,986,99,F2 (Invoice),291,29803,17.06896551724138,kg (Kilogram),CN,China
307,2025-01-03,986,99,F2 (Invoice),291,29803,0.0,kg (Kilogram),CN,China
308,2025-01-03,986,99,F2 (Invoice),291,30248,31.03448275862069,kg (Kilogram),CN,China
309,2025-01-03,986,99,F2 (Invoice),291,30248,0.0,kg (Kilogram),CN,China
310,2025-01-03,986,99,F2 (Invoice),291,30695,82.75862068965517,kg (Kilogram),CN,China
311,2025-01-03,986,99,F2 (Invoice),291,30695,0.0,kg (Kilogram),CN,China
312,2025-01-03,986,99,F2 (Invoice),291,30917,82.75862068965517,kg (Kilogram),CN,China
313,2025-01-03,986,99,F2 (Invoice),291,30917,0.0,kg (Kilogram),CN,China
314,2025-01-03,986,99,F2 (Invoice),291,31955,68.96551724137932,kg (Kilogram),CN,China
315,2025-01-03,986,99,F2 (Invoice),291,31955,0.0,kg (Kilogram),CN,China
316,2025-01-03,986,99,F2 (Invoice),291,33781,129.31034482758622,kg (Kilogram),CN,China
317,2025-01-03,986,99,F2 (Invoice),291,33781,0.0,kg (Kilogram),CN,China
318,2025-01-03,986,99,F2 (Invoice),291,30834,15.517241379310345,kg (Kilogram),CN,China
319,2025-01-03,986,99,F2 (Invoice),291,30834,0.0,kg (Kilogram),CN,China
320,2025-01-03,986,99,F2 (Invoice),291,30248,15.517241379310345,kg (Kilogram),CN,China
321,2025-01-03,986,99,F2 (Invoice),291,30248,0.0,kg (Kilogram),CN,China
322,2025-01-03,986,99,F2 (Invoice),291,31517,13.96551724137931,kg (Kilogram),CN,China
323,2025-01-03,986,99,F2 (Invoice),291,31517,0.0,kg (Kilogram),CN,China
324,2025-01-03,986,99,F2 (Invoice),291,31850,34.48275862068966,kg (Kilogram),CN,China
325,2025-01-03,986,99,F2 (Invoice),291,31850,0.0,kg (Kilogram),CN,China
326,2025-01-03,986,99,F2 (Invoice),291,32033,13.96551724137931,kg (Kilogram),CN,China
327,2025-01-03,986,99,F2 (Invoice),291,32033,0.0,kg (Kilogram),CN,China
353,2025-01-03,986,99,F2 (Invoice),674,29821,0.0,kg (Kilogram),CN,China
354,2025-01-03,986,99,F2 (Invoice),674,29821,0.0,kg (Kilogram),CN,China
355,2025-01-03,986,99,F2 (Invoice),674,31903,24.96551724137931,kg (Kilogram),CN,China
356,2025-01-03,986,99,F2 (Invoice),674,31903,0.0,kg (Kilogram),CN,China
357,2025-01-03,986,99,F2 (Invoice),674,31280,49.6551724137931,kg (Kilogram),CN,China
358,2025-01-03,986,99,F2 (Invoice),674,31280,0.0,kg (Kilogram),CN,China
359,2025-01-03,986,99,F2 (Invoice),674,31563,3.103448275862069,kg (Kilogram),CN,China
360,2025-01-03,986,99,F2 (Invoice),674,31563,0.0,kg (Kilogram),CN,China
361,2025-01-03,986,99,F2 (Invoice),674,33937,2.0689655172413794,kg (Kilogram),CN,China
362,2025-01-03,986,99,F2 (Invoice),674,33937,0.0,kg (Kilogram),CN,China
363,2025-01-03,986,99,F2 (Invoice),674,31365,41.37931034482759,kg (Kilogram),CN,China
364,2025-01-03,986,99,F2 (Invoice),674,31365,0.0,kg (Kilogram),CN,China
365,2025-01-03,986,99,F2 (Invoice),674,34129,120.6896551724138,kg (Kilogram),CN,China
366,2025-01-03,986,99,F2 (Invoice),674,34129,0.0,kg (Kilogram),CN,China
367,2025-01-03,986,99,F2 (Invoice),674,34129,0.0,kg (Kilogram),CN,China
368,2025-01-03,986,99,F2 (Invoice),674,31436,14.068965517241379,kg (Kilogram),CN,China
369,2025-01-03,986,99,F2 (Invoice),674,31436,0.0,kg (Kilogram),CN,China
370,2025-01-03,986,99,F2 (Invoice),443,34636,227.58620689655172,kg (Kilogram),CN,China
371,2025-01-03,986,99,F2 (Invoice),443,34636,0.0,kg (Kilogram),CN,China
372,2025-01-03,986,99,F2 (Invoice),443,34635,75.86206896551724,kg (Kilogram),CN,China
373,2025-01-03,986,99,F2 (Invoice),443,34635,0.0,kg (Kilogram),CN,China
374,2025-01-03,986,99,F2 (Invoice),443,29806,108.62068965517241,kg (Kilogram),CN,China
375,2025-01-03,986,99,F2 (Invoice),443,29806,0.0,kg (Kilogram),CN,China
376,2025-01-03,986,99,F2 (Invoice),443,29806,0.0,kg (Kilogram),CN,China
377,2025-01-03,986,99,F2 (Invoice),291,29831,277.2413793103448,kg (Kilogram),CN,China
378,2025-01-03,986,99,F2 (Invoice),291,29831,0.0,kg (Kilogram),CN,China
379,2025-01-03,986,99,F2 (Invoice),291,34888,75.86206896551724,kg (Kilogram),CN,China
380,2025-01-03,986,99,F2 (Invoice),291,34888,0.0,kg (Kilogram),CN,China
381,2025-01-03,986,99,F2 (Invoice),291,33772,77.58620689655173,kg (Kilogram),CN,China
382,2025-01-03,986,99,F2 (Invoice),291,33772,0.0,kg (Kilogram),CN,China
383,2025-01-03,986,99,F2 (Invoice),291,34294,27.586206896551722,kg (Kilogram),CN,China
384,2025-01-03,986,99,F2 (Invoice),291,34294,0.0,kg (Kilogram),CN,China
461,2025-01-05,913,99,F2 (Invoice),950,34088,634.4827586206897,kg (Kilogram),MO,Macau
462,2025-01-05,913,99,F2 (Invoice),950,34088,0.0,kg (Kilogram),MO,Macau
463,2025-01-05,913,99,F2 (Invoice),950,34088,0.0,kg (Kilogram),MO,Macau
464,2025-01-05,913,99,F2 (Invoice),950,34088,0.0,kg (Kilogram),MO,Macau
666,2025-01-06,991,99,F2 (Invoice),265,21926,20.689655172413794,kg (Kilogram),TR,Türkiye
667,2025-01-06,991,99,F2 (Invoice),265,21926,0.0,kg (Kilogram),TR,Türkiye
764,2025-01-06,986,99,F2 (Invoice),709,32106,20.689655172413794,kg (Kilogram),CN,China
766,2025-01-06,986,99,F2 (Invoice),709,29803,51.206896551724135,kg (Kilogram),CN,China
767,2025-01-06,986,99,F2 (Invoice),709,29803,0.0,kg (Kilogram),CN,China
768,2025-01-06,986,99,F2 (Invoice),709,29806,15.517241379310345,kg (Kilogram),CN,China
769,2025-01-06,986,99,F2 (Invoice),709,29806,0.0,kg (Kilogram),CN,China
770,2025-01-06,986,99,F2 (Invoice),709,33781,103.44827586206897,kg (Kilogram),CN,China
771,2025-01-06,986,99,F2 (Invoice),709,33781,0.0,kg (Kilogram),CN,China
772,2025-01-06,986,99,F2 (Invoice),709,29831,41.37931034482759,kg (Kilogram),CN,China
773,2025-01-06,986,99,F2 (Invoice),709,29831,0.0,kg (Kilogram),CN,China
774,2025-01-06,986,99,F2 (Invoice),709,34634,151.72413793103448,kg (Kilogram),CN,China
775,2025-01-06,986,99,F2 (Invoice),709,34634,0.0,kg (Kilogram),CN,China
776,2025-01-06,986,99,F2 (Invoice),709,30345,206.89655172413794,kg (Kilogram),CN,China
777,2025-01-06,986,99,F2 (Invoice),709,30345,0.0,kg (Kilogram),CN,China
778,2025-01-06,986,99,F2 (Invoice),709,31317,189.6551724137931,kg (Kilogram),CN,China
779,2025-01-06,986,99,F2 (Invoice),709,31317,0.0,kg (Kilogram),CN,China
780,2025-01-06,986,99,F2 (Invoice),709,32886,116.37931034482759,kg (Kilogram),CN,China
781,2025-01-06,986,99,F2 (Invoice),709,32886,0.0,kg (Kilogram),CN,China
782,2025-01-06,986,99,F2 (Invoice),519,29700,49.93103448275862,kg (Kilogram),CN,China
783,2025-01-06,986,99,F2 (Invoice),519,29700,0.0,kg (Kilogram),CN,China
784,2025-01-06,986,99,F2 (Invoice),519,30117,144.82758620689654,kg (Kilogram),CN,China
785,2025-01-06,986,99,F2 (Invoice),519,30117,0.0,kg (Kilogram),CN,China
786,2025-01-06,986,99,F2 (Invoice),519,29821,82.75862068965517,kg (Kilogram),CN,China
787,2025-01-06,986,99,F2 (Invoice),519,29821,0.0,kg (Kilogram),CN,China
788,2025-01-06,986,99,F2 (Invoice),519,31946,165.51724137931035,kg (Kilogram),CN,China
789,2025-01-06,986,99,F2 (Invoice),519,31946,0.0,kg (Kilogram),CN,China
790,2025-01-06,986,99,F2 (Invoice),519,31946,0.0,kg (Kilogram),CN,China
